Country Name,Country Code,PBI_Crecimiento,fin_educ_prim,fin_educ_prim_m,fin_educ_prim_h,gasto_educacion_total,gasto_educacion_total_gobierno,gasto_primaria,gasto_secundaria,inasistencia_escuela,inasistencia_primaria_mujeres,inscripcion_preprimario,inscripcion_primaria,inscripcion_secundaria,PBI_percapita,perseverancia_escuela_M,perseverancia_escuela_V,repetidores_primaria_M,repetidores_primaria_V,transicion_secudaria_M,transicion_secudaria_V,prevalencia_desnutricion,inflación_preciosconsumidor,Ahorro neto ajustado,Cargos_propiedad intelectual,Gastos_%PIB,Agricul_silvicul_pesca_PIB,Inversión_extranj.direc,AOD_neto,Asistencia neta recibida,formación bruta de capital,importaciones_bys,industria,inflación_PIB,2017,ingresos_nosubvenciones,remesas personales,PBI,Crecimiento_PBI,exportaciones_bys
Costa Rica,CRI,3.09256633767137,96.7783737182617,97.5201110839844,96.0699462890625,7.06980991363525,30.1514205932617,22.2852,24.67935,6948,6898,80.5481567382813,96.34224,81.86735,12225.5744931403,,,2.28196,3.26776,90.31448,93.05345,,3.1,16.024610778483,5639487.37496967,25.3967283752862,4.69977633148224,2924906990.98245,0.173068801040271,99260002.1362305,18.0648742425179,32.3092705957879,19.3145397059151,2.85888372776628,1.62590692991729,23.3185966619737,560366619.096707,60516043590.1924,4.15769896287743,32.7626831479388
Cuba,CUB,1.7718207232533,89.5238189697266,90.3309173583984,88.7613525390625,,,,,15641,15874,100.611701965332,95.57823,84.18099,8541.21368643707,97.111930847168,95.7283020019531,0.25908,0.64382,98.92097,97.99916,,2.5,,,,3.80068352417631,,0.769364451975586,734719970.703125,10.2982932545869,11.6715366903801,24.3559694788903,4.11518630041306,,,,9.6851e+10,1.80905439941586,14.5512178500996
Curacao,CUW,-2.05324118036593,,,,,,,,,,,,,19457.5315232205,,,,,,,,,,5094972.06703911,,0.169837515588892,172681564.24581,,,,,19.4526207845686,1.5855013258099,1.58558801700291,,160156424.581006,3116610111.73184,-1.73976542028957,
Djibouti,DJI,3.73033779991678,62.976318359375,66.3502883911133,60.2663116455078,3.74855995178223,13.2546997070313,,,20384,15192,6.96879005432129,59.96016,,2914.35819688602,,,10.05631,10.18804,84.38428,87.91915,,16.4,15.8885821860026,,,1.3724945465043,164929861.974668,5.43321807049161,142610000.610352,24.1878325791703,156.500446630713,12.3209143620442,0.263588850451683,0.568112117084679,,41323197.5962323,2751445573.68009,5.40309984307834,147.828279594693
Dominica,DMA,-6.99897579452575,,,,4.7667498588562,9.78390979766846,,,,,,,,7274.517730717,,,,,,,,5.3,,71.1111111111111,,13.4493715979367,22677207.693769,3.77856078769584,19219999.3133545,16.8834962523868,61.9560261050472,11.1088945253498,-3.20497087126583,0.296252889279557,,44351321.0767778,519837037.037037,-6.79942797028076,41.0107156088803
Ecuador,ECU,0.573913173998349,105.41584777832,106.029098510742,104.828048706055,4.61426019668579,,,,,,70.435791015625,91.64154,85.3386,6213.50312736888,98.7291793823242,98.561653137207,0.59921,0.75872,100,99.19815,,10.7,9.20823553704927,26726613.74,,9.32925891153764,629512412.259199,0.207258704848743,211110000.610352,26.2802593261083,21.5889034983958,32.5235875609332,1.94639824444045,0.417335588666803,,2849068577.17312,104295862000,2.36838652633651,20.8328178926217
El Salvador,SLV,1.73469434223202,90.3703308105469,90.369140625,90.3714828491211,3.7252299785614,13.4645204544067,16.03698,15.53204,53627,49111,64.9682998657227,80.23355,60.18056,3910.25440332717,85.2168884277344,81.4761276245117,2.49374,3.88755,95.08438,95.2564,,9.1,4.11853809759031,62456353.55,24.8439899000093,5.39300914080881,503801415.183001,0.642687176466797,151619995.117188,16.6770019364119,45.2748868157855,25.1714727339037,0.987503802684174,1.01235403315573,25.0974253686369,4996353544.71816,24979190000,2.2466700387793,29.0297643758665
Eritrea,ERI,,64.1866607666016,60.4193305969238,67.8043975830078,,,,,115702,122508,21.3832607269287,51.75237,40.69051,,79.7799301147461,80.150749206543,6.68716,8.81665,92.98367,96.24945,,,,,,,55468000,,79199996.9482422,,,,,,,0,,,
Estonia,EST,5.66403908236126,97.2314376831055,97.425163269043,97.0480194091797,4.95629978179932,12.7503004074097,,,1196,946,92.3873672485352,93.68129,94.36474,20437.765376736,99.5791015625,99.8464279174805,0.34663,0.65798,,,,2.5,14.7392717043174,20217819.2640978,34.9921753369002,2.38620546594402,1735775304.25104,,,26.3826501511689,71.7538682971034,23.9988866145101,3.59036501479098,3.41723549488057,34.7748352390032,505091283.786082,26924385103.0659,5.79204467466494,75.8098540993406
Eswatini,SWZ,1.04568593576538,95.8192672729492,97.1426467895508,94.5038604736328,6.13809013366699,,,,17918,17972,,82.52357,,3914.41848379603,,,11.03557,15.64483,,,,12.4,6.13227048220124,36212.0211926558,,8.4277619744968,-57647593.3929901,3.59334949514195,147610000.610352,12.8307084036859,44.2852600263443,33.8789757960861,2.47812989286125,6.22137528933114,,144415393.563011,4402969225.92165,2.0265781557498,43.5131078705156
Fiji,FJI,4.74654991827457,,,,4.65118980407715,16.8171901702881,,,,,,,,6101.02388950081,,,,,,,,6.3,8.71506332401776,871780.796159109,25.2417239384039,10.5318273601847,387602565.305446,2.95924762926741,145899993.896484,20.2566932149979,50.9445283068387,15.6940496694084,1.69845720619466,3.34757834757835,27.2286335314833,278683959.26884,5353404422.08138,5.35336493706966,45.9843032661797
Georgia,GEO,4.82856985509574,113.701599121094,113.988098144531,113.447082519531,3.57442998886108,12.9533596038818,,,,,,97.91476,94.21028,4357.00093554628,99.0279998779297,98.8897323608398,0.1885,0.30724,99.74239,99.63832,,8.3,3.64191175620507,332992.75,27.2432878002826,6.24018684251845,1920628293.25,2.89652052199648,447440002.441406,27.290145627257,57.5124627100016,20.2143684251845,8.49104666870355,6.03531725272117,28.428471895117,1793945160.51,16242916915.7203,4.84260322496586,46.5276142251531
Ghana,GHA,5.75434851659537,94.7244567871094,94.4832763671875,94.9557495117188,3.62737989425659,20.0976390838623,,,56903,33801,116.79411315918,85.1822,55.4414,2074.29073272269,82.3752975463867,80.8289489746094,1.7684,1.84507,94.80775,92.6668,12.6,7.1,8.95800068100898,,17.3552401265744,19.5617097174459,3254990000,2.2000917693697,1263550048.82813,20.5938164349378,36.6714901336787,29.9522184510887,10.6773105806362,12.3719215507048,14.5205311166393,3536410000,60406382898.5174,8.12889488100956,33.8768744319153
Gibraltar,GIB,,92.258056640625,93.8864593505859,90.6779708862305,,,,,,,205.895690917969,,93.83962,,,,0,0,,,,,,,,,,,,,,,,,,,,,
Guam,GUM,0.0714629202402932,,,,,,,,,,,,,36601.9198811792,,,,,,,,,,,,,,,,,50.291036088475,,0.998991461381451,,,,6.013e+09,0.890099909173486,18.9755529685681
Guatemala,GTM,1.41564884120322,79.9413299560547,79.5324172973633,80.3334503173828,2.95009994506836,23.0880508422852,11.36856,5.09271,141185,130208,49.0028381347656,85.58408,43.59611,4454.04814983548,86.2694396972656,83.7274475097656,8.19403,10.67669,85.65281,94.44697,,16.3,1.5115505814166,15596720,12.3318455896311,9.69628663196754,998344470,0.523156349070893,367010009.765625,13.5961064738207,27.5743740998868,21.9049097758764,1.7479141087134,4.42453655182543,11.3239810803481,8393882100,71654134378.5299,3.07985149125689,18.4950463014753
Guinea-Bissau,GNB,3.27071342766881,,,,2.20000004768372,15,,,,,,,,738.549944890782,,,,,,,,,1.88222805644147,,12.6271258161709,49.1578077854646,15691197.9520896,8.3788355927677,113360000.610352,9.00098052640075,33.0730442981032,12.6001704349839,5.93859668011328,1.69111461822295,12.6605087313737,105179557.532654,1350177127.5523,5.91917662586047,27.7739726207238
Guinea,GIN,7.29211181459284,,,,2.3203399181366,13.3767900466919,,,,,,,,855.575270552124,,,,,,,,,-4.39288198451577,,,20.5284725323382,577590000,4.59673046318095,472269989.013672,22.2704171458371,56.5913353153077,31.6539844959743,10.3565072127093,8.91452597036354,,44660000,10324668266.5921,10.3000004937957,44.6602984531211
Guyana,GUY,3.21852430987543,,,,4.6647801399231,17.6357307434082,,,,,,,,6124.95366998759,,,,,,,,6,,375160,,22.7579250544111,327343651.21783,1.07944418694981,51130001.0681152,,,26.2071926714792,2.10912351831318,1.90465615515582,,322340617.546773,4748174334.14044,3.73437406053053,
Honduras,HND,3.08361521753868,81.6243286132813,82.7117385864258,80.580207824707,4.93701982498169,19.6704692840576,,,114409,99997,41.1467590332031,80.09489,43.77822,2436.6716359867,,,1.57925,2.54307,,,,13.2,22.618661098988,,,12.6697681094878,949955941.517779,2.05019063056919,442230010.986328,24.8207131723601,58.7192562426045,26.5389223099615,4.5128429763521,3.93436084442035,,4322761613.52253,22975415842.4648,4.84291391050387,43.0938548370178
India,IND,5.66578114880545,94.3737487792969,96.2924880981445,92.6502914428711,,,,,,,60.5040702819824,,,1980.66701982802,,,0.55693,0.57514,91.5643,90.96657,33.4,13.8,18.7646651313987,659628260.998322,15.6141099220983,16.5583314047028,39966091358.7384,0.121936105213393,3198139892.57813,30.9821757629795,21.9507321152243,26.5000166467144,3.96925793352338,3.32817337461299,12.7267619005257,68967175499.8665,2651472946374.91,6.79538341897911,18.7917648392982
Indonesia,IDN,3.84119726442658,100.82592010498,100.193817138672,101.421546936035,2.6699800491333,16.1104793548584,,,428719,973920,63.1930694580078,94.09782,,3837.57802362633,99.2259368896484,97.3232727050781,0.96458,1.81293,,,,6.4,14.1439355386692,49809737.2170658,14.2990290989907,13.1566308462661,20510310832.4469,0.028490867279998,280190002.441406,33.7105947957751,19.17819263535,39.3791548040237,4.29267812199525,3.80879806953163,12.1766475709039,8989529970.52679,1015618742565.81,5.06978590134916,20.1773044351106
Iraq,IRQ,-4.28298176305985,,,,,,,,,,,,,4985.45287942996,,,,,,,,37.9,-2.07356787374088,1e+05,25.9749833916221,2.97672780101335,-5032400000,1.56505414286709,2907510009.76563,17.8524768622366,25.8648489788178,51.3296814634291,14.6503597888451,0.18405889884764,34.5637256795617,1088500000,187217660050.676,-1.81975035118309,33.9160634134979
Israel,ISR,2.37294959239584,105.557968139648,106.374351501465,104.785018920898,6.10272979736328,15.7010803222656,,,,,110.798156738281,97.01884,98.63822,40774.1296073227,98.2612609863281,99.7543029785156,0.47044,1.0639,,,,2.5,16.2044241910797,1264300000,36.3686179075497,1.20730222550317,16892500000,,,21.1230865210411,27.5459204574943,18.5909884131793,-0.00183774850883367,0.244953121040659,33.2897156474145,991200000,355277223507.485,4.37704442820299,29.4458235791591
Jamaica,JAM,0.492076589718863,80.9299392700195,81.641487121582,80.2450103759766,5.26016998291016,18.4025402069092,23.44592,27.15691,,,74.5182113647461,82.51691,73.20201,5070.0995030616,97.3633193969727,96.1521530151367,2.36472,3.44381,97.64241,96.47516,,8.8,17.2437468595908,4870046.84,26.6616007704384,6.63178586034485,888835228.478601,0.427791760411802,61549999.2370605,22.531839949341,48.8661099457791,19.4370522816322,6.54976684602491,4.3783986499156,29.5918823478556,2462677565.49913,14808989993.3185,0.997123062335191,34.6570625717339
Kenya,KEN,1.39771664690468,,,,5.36668014526367,17.7087001800537,,,,,78.1178207397461,,,1633.49121639293,,,,,,,,24.6,-3.77559712501247,68571186.5827143,25.1285090916527,20.8936374065292,1266137282.66311,3.07997758587782,2480219970.70313,20.6634949022773,23.2583979340349,17.5035092078691,7.60520032430996,8.0057227913467,21.1458721961561,1962264725.59694,82035800868.187,3.81550642712519,12.7366599413725
Kiribati,KIR,-0.545552671301749,,,,10.8631601333618,12.5488796234131,,,,,,94.69278,,1640.57120522974,,,,,,,,3.5,,,76.6570489740493,30.5111263659299,784797.254894666,21.5299772188963,77150001.5258789,29.848023613383,103.897607916706,12.4860547804812,0.964916332831194,0.355520888546853,99.5689841130188,17959541.3915397,187276124.790591,0.889757537282748,15.7171108217559
Kosovo,XKX,4.03870892350164,,,,,,,,,,,,,4009.38098680369,,,,,,,,,,346888.008995231,,7.40871957581394,286835212.112418,5.35679730052578,392369995.117188,34.6926494889605,53.0812924686335,27.5275719677758,0.439985824227108,1.48823430592309,,1112078353.84235,7180813375.50836,4.8256904268714,27.328844878341
Kuwait,KWT,-7.04349989138754,95.3718872070313,98.0749969482422,92.9757308959961,6.3654899597168,11.137809753418,,,,,65.3118896484375,85.87088,,29759.4674745278,,,0.43426,0.57167,98.99229,96.66629,,2.5,16.6673185688265,,,0.525092139249465,113012065.007347,,,27.730838747062,46.6437308648816,55.6192158978196,16.2310999336247,2.17183298510008,,22951786.934619,120707435542.367,-4.71210620851997,51.1963155925274
Lesotho,LSO,-3.90564187261468,,,,8.15688991546631,15.115309715271,,,4299,3109,,93.31062,,1102.94441037887,,,,,,,,26,3.52282452318199,216196.087012247,39.7249214445403,4.96482137796821,42168784.1137567,5.55790122625177,145660003.662109,22.2109688394915,98.9136827301146,28.5798427200997,2.0178781766935,4.44769937376299,38.3376244973832,549810084.271499,2306843528.52853,-3.14194994562207,46.0383645400724
Liberia,LBR,-0.060039735974641,60.595401763916,58.04248046875,63.0615997314453,2.76128005981445,8.34193992614746,,,82261,77218,125.178817749023,44.25563,,721.085044013216,,,7.23619,6.62714,,,,36.6,-85.2757875669912,,,35.9426159185731,247842983.01405,20.454280248968,631590026.855469,,,15.4416514284322,-2.61793415299387,12.4196323907137,,403475872.714982,3390703400,2.45515592012239,
Liechtenstein,LIE,,90.4392776489258,84.7715682983398,96.315788269043,,,,,,,103.066673278809,,85.94145,171253.964253797,98.9972305297852,96.4255218505859,4.46137,2.87356,,,,,,,,0.134897728698707,38999586460.5875,,,,,44.0770485631823,,,,,6474256118.61481,,
Madagascar,MDG,1.185080524299,67.0071334838867,69.6396179199219,64.4023513793945,2.8364200592041,15.8376998901367,,,,,37.5630187988281,,29.12022,515.293323373233,,,,,,,,42.3,4.74901397607651,3489851.62171701,10.5891148272574,24.5501377700574,464856589.648809,6.07835331203099,779039978.027344,15.8063768977052,34.4407706318087,20.1123576646076,4.96153975744053,8.60905075422951,10.8751557569556,342776977.918857,13176313593.5418,3.93330759454742,30.9026308765022
Malawi,MWI,1.26357063864582,,,,4.03133010864258,14.3444204330444,,,,,,,,506.137294436399,,,,,,,12.6,16.5,-3.04516035565282,,13.2444720008197,22.9262386345959,90200000,17.3859267245802,1520439941.40625,,,17.74795964738,60.9869707162353,11.543393918877,13.0565373168689,78392829.7871586,8943543677.189,4.00003051707549,
Malta,MLT,5.19857739445129,101.934188842773,99.5854873657227,104.144317626953,4.65162992477417,13.3727102279663,,,,,107.719261169434,99.53764,92.96077,28250.6977747589,,,0.38588,0.25455,,,,2.5,,644842333.778804,33.9130711754091,0.681507587167574,3890244436.94056,,,22.4121730339741,133.293596303072,12.0579071184963,2.22278076888944,1.3643544815071,37.4959159774507,269545190.671375,13221298307.8894,8.11942528928094,150.456222265436
Mauritania,MRT,3.31636794202008,69.7143096923828,72.0913619995117,67.4019470214844,,,,,76737,61573,,77.82357,28.18691,1587.61126325063,,,2.37013,2.42089,63.63329,67.56124,,8.6,17.1388434552722,,,22.7187479073108,588217194.758539,4.35260240730413,291730010.986328,37.8988023757749,44.3093026532937,23.7454238150192,1.58393832604489,2.27503457252097,,77170265.8334297,6799075418.99441,6.27054569386574,34.5056775300947
Mongolia,MNG,3.68853378857119,91.507438659668,90.4536819458008,92.5392608642578,4.08859014511108,12.6456203460693,14.10634,,,,85.3497467041016,97.86929,,3687.10000337811,98.5137023925781,97.0629577636719,0.11259,0.10808,99.76341,98.80321,,6.3,-1.60025379470459,999069.924246545,23.7015119824544,11.1372332714761,1494350363.46922,7.75506834678878,765590026.855469,27.4062542968844,56.7662226015459,37.418411611216,10.8004464058994,4.3107625408578,24.8214247024984,273364998.118359,11480847745.3187,5.63687638962695,59.1666792690871
Montenegro,MNE,4.70468752737763,90.2608871459961,90.7856216430664,89.7850799560547,,,,,590,507,62.105770111084,95.71483,89.33592,7784.06528996557,99.0650405883789,99.120719909668,0.47172,0.50254,99.67751,99.9731,,2.5,,510570.461506933,,6.85389074108922,560665419.031984,2.38648491407937,117989997.86377,30.2228075655993,64.4997744872114,14.8613741835193,3.82494607129446,2.38023599053136,,522997313.49104,4844592066.71174,4.71646527572034,41.0551905042252
